Image_name_Type,EncodedPixels
0000Date_01_08_2019.jpg_armature,1 1 
0000Date_01_08_2019.jpg_other,1 1 
0000Date_01_08_2019.jpg_wood,1 1 
0029Date_01_08_2019.jpg_armature,1 1 
0029Date_01_08_2019.jpg_other,1 1 
0029Date_01_08_2019.jpg_wood,1 1 
0049Date_01_08_2019.jpg_armature,1 1 
0049Date_01_08_2019.jpg_other,1 1 
0049Date_01_08_2019.jpg_wood,1 1 
0054Date_01_08_2019.jpg_armature,1 1 
0054Date_01_08_2019.jpg_other,1 1 
0054Date_01_08_2019.jpg_wood,1 1 
0057Date_01_08_2019.jpg_armature,1 1 
0057Date_01_08_2019.jpg_other,1 1 
0057Date_01_08_2019.jpg_wood,1 1 
0064Date_01_08_2019.jpg_armature,1 1 
0064Date_01_08_2019.jpg_other,1 1 
0064Date_01_08_2019.jpg_wood,1 1 
0068Date_01_08_2019.jpg_armature,1 1 
0068Date_01_08_2019.jpg_other,1 1 
0068Date_01_08_2019.jpg_wood,1 1 
0071Date_01_08_2019.jpg_armature,1 1 
0071Date_01_08_2019.jpg_other,1 1 
0071Date_01_08_2019.jpg_wood,1 1 
0077Date_01_08_2019.jpg_armature,1 1 
0077Date_01_08_2019.jpg_other,1 1 
0077Date_01_08_2019.jpg_wood,1 1 
0078Date_01_08_2019.jpg_armature,1 1 
0078Date_01_08_2019.jpg_other,1 1 
0078Date_01_08_2019.jpg_wood,1 1 
0085Date_01_08_2019.jpg_armature,1 1 
0085Date_01_08_2019.jpg_other,1 1 
0085Date_01_08_2019.jpg_wood,1 1 
0086Date_01_08_2019.jpg_armature,1 1 
0086Date_01_08_2019.jpg_other,1 1 
0086Date_01_08_2019.jpg_wood,1 1 
0087Date_01_08_2019.jpg_armature,1 1 
0087Date_01_08_2019.jpg_other,1 1 
0087Date_01_08_2019.jpg_wood,1 1 
0098Date_01_08_2019.jpg_armature,1 1 
0098Date_01_08_2019.jpg_other,1 1 
0098Date_01_08_2019.jpg_wood,1 1 
0100Date_01_08_2019.jpg_armature,1 1 
0100Date_01_08_2019.jpg_other,1 1 
0100Date_01_08_2019.jpg_wood,1 1 
0104Date_01_08_2019.jpg_armature,1 1 
0104Date_01_08_2019.jpg_other,1 1 
0104Date_01_08_2019.jpg_wood,1 1 
