,image_name,type,xmin,xmax,ymin,ymax
0,0007Date_01_08_2019.jpg,other,285,368,61,278
1,0013Date_01_08_2019.jpg,armature,187,550,101,253
2,0016Date_01_08_2019.jpg,armature,172,327,13,360
3,0019Date_01_08_2019.jpg,armature,19,267,162,237
4,0019Date_01_08_2019.jpg,armature,309,548,300,376
5,0020Date_01_08_2019.jpg,armature,393,635,306,386
6,0020Date_01_08_2019.jpg,armature,92,370,159,244
7,0021Date_01_08_2019.jpg,armature,277,536,205,261
8,0021Date_01_08_2019.jpg,armature,576,702,325,395
9,0030Date_01_08_2019.jpg,armature,156,409,35,353
10,0032Date_01_08_2019.jpg,armature,107,226,97,245
11,0039Date_01_08_2019.jpg,armature,374,543,149,375
12,0044Date_01_08_2019.jpg,armature,256,419,1,294
13,0053Date_01_08_2019.jpg,armature,133,425,1,235
14,0055Date_01_08_2019.jpg,armature,258,360,1,121
15,0056Date_01_08_2019.jpg,armature,16,267,79,257
16,0058Date_01_08_2019.jpg,armature,198,524,6,283
17,0059Date_01_08_2019.jpg,armature,112,373,147,365
18,0060Date_01_08_2019.jpg,armature,521,690,180,388
19,0063Date_01_08_2019.jpg,armature,443,527,1,199
20,0066Date_01_08_2019.jpg,armature,128,535,55,387
21,0067Date_01_08_2019.jpg,armature,3,240,30,365
22,0067Date_01_08_2019.jpg,wood,88,278,307,395
23,0072Date_01_08_2019.jpg,armature,92,150,255,421
24,0076Date_01_08_2019.jpg,armature,67,356,89,285
25,0088Date_01_08_2019.jpg,armature,272,660,168,418
26,0091Date_01_08_2019.jpg,armature,154,351,237,421
27,0093Date_01_08_2019.jpg,armature,25,225,10,301
28,0094Date_01_08_2019.jpg,armature,114,323,14,311
29,0095Date_01_08_2019.jpg,armature,247,468,19,327
30,0095Date_01_08_2019.jpg,armature,121,180,174,297
31,0096Date_01_08_2019.jpg,armature,125,528,194,385
32,0096Date_01_08_2019.jpg,armature,579,703,100,300
33,0097Date_01_08_2019.jpg,armature,626,703,159,313
34,0097Date_01_08_2019.jpg,armature,165,572,196,385
35,0099Date_01_08_2019.jpg,armature,1,303,54,337
36,0109Date_01_08_2019.jpg,armature,191,270,111,244
37,0112Date_01_08_2019.jpg,armature,83,251,27,176
38,0122Date_01_08_2019.jpg,armature,5,425,4,363
39,0123Date_01_08_2019.jpg,armature,307,704,30,408
40,0136Date_01_08_2019.jpg,armature,576,703,94,213
41,0142Date_01_08_2019.jpg,armature,209,287,142,350
42,0144Date_01_08_2019.jpg,armature,131,408,21,348
43,0185Date_01_08_2019.jpg,armature,409,496,6,170
44,0190Date_01_08_2019.jpg,armature,374,502,216,418
45,0195Date_01_08_2019.jpg,armature,305,511,15,419
46,0200Date_01_08_2019.jpg,armature,246,442,125,226
47,0201Date_01_08_2019.jpg,armature,479,631,61,218
48,0205Date_01_08_2019.jpg,armature,490,640,61,354
49,0218Date_01_08_2019.jpg,armature,504,703,46,418
50,0229Date_01_08_2019.jpg,armature,3,249,28,377
51,0229Date_01_08_2019.jpg,armature,126,418,36,397
52,0230Date_01_08_2019.jpg,armature,248,514,47,405
53,0230Date_01_08_2019.jpg,armature,70,350,3,389
54,0235Date_01_08_2019.jpg,armature,339,466,226,281
55,0237Date_01_08_2019.jpg,wood,334,385,242,354
56,0241Date_01_08_2019.jpg,armature,112,205,2,420
57,0244Date_01_08_2019.jpg,armature,571,669,248,296
